radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,32827,43515394,-1,-88.6409,35.402,3151,51,1,1694197622,1749353230,0
LTE,310,260,32770,41444098,-1,-88.6459,35.4105,5832,31,1,1694197712,1749353230,0
LTE,310,260,32770,41422595,-1,-88.6407,35.3571,2568,39,1,1694197892,1749353230,0
LTE,310,260,32770,41422593,-1,-88.6388,35.3266,1070,50,1,1694197992,1749353229,0
LTE,310,260,32770,41422594,-1,-88.6376,35.3123,4250,21,1,1694198022,1749353239,0
LTE,310,260,32770,43724801,-1,-88.6289,35.2596,1368,50,1,1694198192,1749353228,0
LTE,310,260,32774,41422849,-1,-88.6055,35.1806,2050,27,1,1694198492,1749353228,0
LTE,310,260,32774,41422850,-1,-88.5889,35.1465,3956,50,1,1694198642,1749353227,0
LTE,310,260,32770,73753603,-1,-88.5674,35.1664,1821,18,1,1694198922,1749353227,0
LTE,310,260,43906,104365837,-1,-86.8255,35.9098,8750,39,1,1694256821,1773965945,0
LTE,310,260,43906,104365827,-1,-86.8284,35.8992,7031,32,1,1694258233,1753355347,0
LTE,310,260,43906,31667203,-1,-86.7847,36.0256,1587,24,1,1694258593,1773965945,0
LTE,310,260,44029,6866444,-1,-86.7877,36.0073,1000,15,1,1694258663,1753355401,0
LTE,310,260,43906,31667213,-1,-86.7884,36.0161,3258,33,1,1694258683,1773965945,0
LTE,310,260,43906,31381517,-1,-86.7666,36.077,624,29,1,1694258933,1753355402,0
LTE,310,260,43906,9380866,-1,-86.768,36.1518,1000,13,1,1694259293,1788291484,0
LTE,310,260,43906,26382854,-1,-86.7755,36.1873,537,42,1,1694259545,1768402682,0
LTE,310,260,43777,6869053,-1,-86.7174,36.3631,1549,14,1,1694260465,1769661424,0
LTE,310,260,43777,7084812,-1,-86.6938,36.4429,1775,17,1,1694260745,1765383481,0
LTE,310,260,43777,7084811,-1,-86.6983,36.4527,4221,26,1,1694260755,1765169103,0
LTE,310,260,43907,105750285,-1,-86.7033,36.4769,3233,50,1,1694260805,1765169103,0
LTE,310,260,43907,105750284,-1,-86.6725,36.4632,2205,30,1,1694260865,1768920605,0
LTE,310,260,43907,105750283,-1,-86.6657,36.4957,3550,27,1,1694260885,1766013242,0
LTE,310,260,43907,98457613,-1,-86.5922,36.5872,1503,28,1,1694261315,1768920605,0
LTE,310,260,43907,98457612,-1,-86.5671,36.5851,5134,36,1,1694261445,1766013243,0
LTE,310,260,32770,41444159,-1,-88.7515,35.5112,6922,36,1,1696346444,1749353231,0
LTE,310,260,32770,41444119,-1,-88.7326,35.4987,6297,28,1,1696346484,1749353231,0
LTE,310,260,43906,31763468,-1,-86.8642,35.771,1032,34,1,1696423478,1773965944,0
LTE,310,260,43906,7033090,-1,-86.8169,35.9404,1000,15,1,1696424169,1767478142,0
LTE,310,260,43906,98460683,-1,-86.7572,36.1216,1000,19,1,1696424920,1753355402,0
LTE,310,260,43906,25680899,-1,-86.6759,36.1371,1092,41,1,1696425280,1753355404,0
LTE,310,260,43906,25680900,-1,-86.6664,36.14,814,26,1,1696425330,1753355403,0
LTE,310,260,43906,98555395,-1,-86.6066,36.1687,1000,15,1,1696425530,1788291485,0
LTE,310,260,43906,98555393,-1,-86.5991,36.1701,1000,11,1,1696425560,1788291485,0
LTE,310,260,43906,104644097,-1,-86.5037,36.1724,1000,16,1,1696425840,1788291485,0
LTE,310,260,44027,8104716,-1,-86.4298,36.2347,2006,50,1,1696426370,1759071961,0
LTE,310,260,43777,7666690,-1,-86.4376,36.3408,2262,25,1,1696433382,1766431024,0
LTE,310,260,43777,7666699,-1,-86.4616,36.4144,6045,4,1,1696433612,1774203482,0
LTE,310,260,43777,7666689,-1,-86.4465,36.3699,8510,28,1,1696433662,1768920605,0
LTE,310,260,43777,7660801,-1,-86.4743,36.3853,1131,38,1,1696433872,1769592424,0
LTE,310,260,43777,7660291,-1,-86.4739,36.3899,3096,19,1,1696433892,1769592424,0
LTE,310,260,43777,7660813,-1,-86.4812,36.393,2819,47,1,1696433952,1774203482,0
LTE,310,260,43777,30143501,-1,-86.4754,36.4056,1493,38,1,1696433962,1774203482,0
LTE,310,260,43777,7660803,-1,-86.4793,36.3955,2459,31,1,1696433992,1769592424,0
LTE,310,260,43777,30143491,-1,-86.4693,36.405,4654,37,1,1696434012,1769592424,0
LTE,310,260,43777,7313154,-1,-86.4654,36.4467,3617,27,1,1696434122,1769592424,0
LTE,310,260,43777,7313164,-1,-86.466,36.4451,4317,50,1,1696434162,1774203482,0
LTE,310,260,43777,7313153,-1,-86.4919,36.4896,1473,31,1,1696434432,1769592425,0
LTE,310,260,43777,7313163,-1,-86.4901,36.4881,1434,26,1,1696434522,1774203483,0
LTE,310,260,43777,7467276,-1,-86.5076,36.537,2434,27,1,1696434562,1774203483,0
LTE,310,260,43777,7467275,-1,-86.512,36.5693,2208,50,1,1696434922,1774203484,0
LTE,310,260,43777,7313932,-1,-86.5545,36.5877,3033,27,1,1696435392,1766013243,0
LTE,310,260,42881,109412364,-1,-88.6538,37.0556,1000,15,1,1700302538,1764344284,0
LTE,310,260,42881,104553483,-1,-88.5757,37.0108,1967,21,1,1700302768,1764344521,0
LTE,310,260,42881,104553485,-1,-88.5423,36.9981,1000,22,1,1700302938,1764344643,0
LTE,310,260,43003,7191298,-1,-88.1908,37.0634,2934,21,1,1700304058,1763746262,0
LTE,310,260,43003,7191555,-1,-88.1075,37.0716,4042,21,1,1700304178,1763746081,0
LTE,310,260,43003,7191585,-1,-88.065,37.0662,1000,7,1,1700304458,1764345905,0
LTE,310,260,43777,7312642,-1,-87.9915,37.0239,1000,21,1,1700304728,1764346144,0
LTE,310,260,43777,7299341,-1,-87.9384,36.9906,7935,6,1,1700304888,1763745422,0
LTE,310,260,43777,7312385,-1,-87.7252,36.8752,4308,21,1,1700305668,1763741342,0
LTE,310,260,43777,7312445,-1,-87.6877,36.8486,1000,7,1,1700305838,1763740982,0
LTE,310,260,43777,7312395,-1,-87.7149,36.8693,3960,22,1,1700305848,1763741042,0
LTE,310,260,43777,7306253,-1,-87.6673,36.8361,2775,50,1,1700305878,1763740862,0
LTE,310,260,43777,7306251,-1,-87.6274,36.8141,1000,7,1,1700306058,1763740802,0
LTE,310,260,43777,29517581,-1,-87.582,36.7856,1435,23,1,1700306078,1763740683,0
LTE,310,260,43777,7306252,-1,-87.592,36.7903,2437,21,1,1700306098,1763740621,0
LTE,310,260,43777,8103691,-1,-87.4074,36.6832,1000,17,1,1700306872,1763740142,0
LTE,310,260,43777,6396733,-1,-87.3722,36.659,1000,7,1,1700307002,1763740022,0
LTE,310,260,43907,25624076,-1,-87.2598,36.5709,2256,26,1,1700307422,1765169102,0
LTE,310,260,43777,7013899,-1,-87.2496,36.5534,1224,37,1,1700307522,1765169102,0
LTE,310,260,43777,7013900,-1,-87.2326,36.5364,3843,39,1,1700307592,1765169102,0
LTE,310,260,43777,7219459,-1,-87.1445,36.4778,2748,38,1,1700307952,1765169102,0
LTE,310,260,43777,7286539,-1,-87.0138,36.3978,1769,31,1,1700308713,1765169102,0
LTE,310,260,43777,7213836,-1,-86.932,36.3486,1000,14,1,1700308783,1763738461,0
LTE,310,260,43777,7213835,-1,-86.9048,36.3338,1000,22,1,1700308813,1765159322,0
LTE,310,260,43777,7213845,-1,-86.9058,36.3336,1000,12,1,1700308883,1765159322,0
LTE,310,260,43777,7213825,-1,-86.9178,36.341,2991,28,1,1700308923,1765159322,0
LTE,310,260,43777,103741973,-1,-86.8852,36.3264,1000,13,1,1700308953,1765159322,0
LTE,310,260,43777,103742013,-1,-86.879,36.3255,1000,12,1,1700308973,1763738282,0
LTE,310,260,43777,103741963,-1,-86.8763,36.3253,3184,31,1,1700309003,1765159322,0
LTE,310,260,43777,29793547,-1,-86.867,36.3233,2105,18,1,1700309023,1765159322,0
